latitude,longitude,slope_deg,elevation_m,soil_saturation,ndvi,distance_to_water_km,prev_events_30d,risk_score
18.52,73.85,5.0,580.0,0.20,0.65,3.2,0,0.08
18.53,73.86,12.0,620.0,0.35,0.55,2.1,1,0.22
18.54,73.87,22.0,700.0,0.55,0.42,1.5,2,0.48
18.55,73.88,30.0,780.0,0.70,0.30,0.8,3,0.71
18.56,73.89,38.0,850.0,0.85,0.18,0.3,5,0.91
18.57,73.90,8.0,540.0,0.25,0.70,4.0,0,0.10
18.58,73.91,15.0,650.0,0.40,0.50,1.8,1,0.30
18.59,73.92,25.0,720.0,0.60,0.38,1.2,2,0.55
18.60,73.93,33.0,800.0,0.75,0.25,0.6,4,0.80
18.61,73.94,40.0,890.0,0.90,0.10,0.2,6,0.97
18.62,73.95,6.0,560.0,0.22,0.68,3.5,0,0.09
18.63,73.96,18.0,680.0,0.45,0.48,1.6,1,0.38
18.64,73.97,28.0,750.0,0.65,0.35,1.0,3,0.63
18.65,73.98,35.0,820.0,0.80,0.22,0.5,4,0.85
18.66,73.99,42.0,910.0,0.92,0.08,0.1,7,0.99
18.67,74.00,7.0,570.0,0.24,0.66,3.8,0,0.09
18.68,74.01,20.0,695.0,0.50,0.45,1.4,2,0.42
18.69,74.02,27.0,740.0,0.62,0.37,1.1,2,0.60
18.70,74.03,32.0,810.0,0.78,0.24,0.7,4,0.78
18.71,74.04,36.0,860.0,0.83,0.16,0.4,5,0.88
18.72,74.05,10.0,600.0,0.30,0.60,2.5,0,0.17
18.73,74.06,14.0,635.0,0.38,0.52,2.0,1,0.27
18.74,74.07,23.0,710.0,0.58,0.40,1.3,2,0.50
18.75,74.08,31.0,790.0,0.72,0.28,0.9,3,0.74
18.76,74.09,39.0,870.0,0.88,0.12,0.3,5,0.94
18.77,74.10,4.0,520.0,0.18,0.72,4.5,0,0.06
18.78,74.11,16.0,660.0,0.42,0.49,1.7,1,0.32
18.79,74.12,24.0,715.0,0.57,0.39,1.2,2,0.52
18.80,74.13,34.0,830.0,0.81,0.21,0.5,4,0.83
18.81,74.14,41.0,900.0,0.91,0.09,0.2,6,0.98
18.82,74.15,9.0,590.0,0.28,0.62,2.8,0,0.15
18.83,74.16,17.0,670.0,0.44,0.47,1.9,1,0.35
18.84,74.17,26.0,730.0,0.63,0.36,1.0,3,0.58
18.85,74.18,37.0,845.0,0.84,0.15,0.4,5,0.90
18.86,74.19,3.0,510.0,0.15,0.75,5.0,0,0.05
18.87,74.20,11.0,610.0,0.33,0.57,2.3,0,0.20
18.88,74.21,21.0,705.0,0.53,0.43,1.5,2,0.45
18.89,74.22,29.0,760.0,0.68,0.32,0.8,3,0.68
18.90,74.23,36.0,840.0,0.82,0.20,0.4,5,0.87
18.91,74.24,43.0,920.0,0.94,0.06,0.1,7,0.99
